"folder","referenced_file","file_kind","source_type","release_decision","recommended_action","validation_required","issue"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Torus Interactable Variant.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Totem1 Variant.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Totem2 Variant.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Setup/Complete XR Origin Set Up Variant.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Teleport/Teleport Anchor.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Sprites","Assets/Scenes/AdjectiveLevel01.unity","scene","replace_with_project_owned","pending","Review sprite source/ownership, replace uncertain UI art with original project art, and retain only public-safe sprites.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and review UI scenes.","#2"
"Assets/Sprites","Assets/Scenes/MainMenu.unity","scene","replace_with_project_owned","pending","Review sprite source/ownership, replace uncertain UI art with original project art, and retain only public-safe sprites.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and review UI scenes.","#2"
"Assets/Sprites","Assets/Scenes/NumberInequalitiesLevel.unity","scene","replace_with_project_owned","pending","Review sprite source/ownership, replace uncertain UI art with original project art, and retain only public-safe sprites.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and review UI scenes.","#2"
"Assets/Sprites","Assets/Scenes/WordLevel01.unity","scene","replace_with_project_owned","pending","Review sprite source/ownership, replace uncertain UI art with original project art, and retain only public-safe sprites.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and review UI scenes.","#2"
"Assets/TextMesh Pro","Assets/BuildingMaterials/??????? ???????.mat","material","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/Scenes/AdjectiveLevel01.unity","scene","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/Scenes/IdentifyingColors.unity","scene","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/Scenes/NumberInequalitiesLevel.unity","scene","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/Scenes/NumberLevelUI01.unity","scene","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/Scenes/WordLevel01.unity","scene","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/VRTemplateAssets/Fonts/Inter/Inter-Regular SDF Material XRay Blue.mat","material","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/VRTemplateAssets/Fonts/Inter/Inter-Regular SDF NoBackfaceCulling.asset","asset","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/VRTemplateAssets/Fonts/Inter/Inter-Regular SDF Overlay Material.mat","material","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/VRTemplateAssets/Fonts/Inter/Inter-Regular SDF Overlay Outline Material.mat","material","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/VRTemplateAssets/Fonts/Inter/Inter-Regular SDF Overlay Outline Thick Material.mat","material","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/VRTemplateAssets/Fonts/Inter/Inter-Regular SDF.asset","asset","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/TextMesh Pro","Assets/VRTemplateAssets/Prefabs/Affordance/Affordance Callout.prefab","prefab","import_from_unity_registry","pending","Move toward UPM-provided TextMesh Pro assets where practical; keep LiberationSans license if any bundled font remains.","Regenerate risky-reference CSV, run Unity scene validation, and confirm text renders in affected scenes.","#2"
"Assets/VRTemplateAssets","Assets/Scenes/SampleScene.unity","scene","import_from_unity_template_or_replace","pending","Document Unity template/sample import steps or replace template prefabs with project-owned XR setup assets.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR origin/interactions.","#2"
"Assets/WOC","Assets/Scenes/AdjectiveLevel01.unity","scene","replace_or_confirm_source","pending","Replace referenced models/textures with original placeholders or verified redistributable environment assets.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and inspect affected scenes.","#2"
"Assets/WOC","Assets/Scenes/IdentifyingColors.unity","scene","replace_or_confirm_source","pending","Replace referenced models/textures with original placeholders or verified redistributable environment assets.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and inspect affected scenes.","#2"
"Assets/WOC","Assets/Scenes/MainMenu.unity","scene","replace_or_confirm_source","pending","Replace referenced models/textures with original placeholders or verified redistributable environment assets.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and inspect affected scenes.","#2"
"Assets/WOC","Assets/Scenes/NumberInequalitiesLevel.unity","scene","replace_or_confirm_source","pending","Replace referenced models/textures with original placeholders or verified redistributable environment assets.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and inspect affected scenes.","#2"
"Assets/WOC","Assets/Scenes/NumberLevelUI01.unity","scene","replace_or_confirm_source","pending","Replace referenced models/textures with original placeholders or verified redistributable environment assets.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and inspect affected scenes.","#2"
"Assets/WOC","Assets/Scenes/WordLevel01.unity","scene","replace_or_confirm_source","pending","Replace referenced models/textures with original placeholders or verified redistributable environment assets.","Regenerate asset and risky-reference CSVs, run Unity scene validation, and inspect affected scenes.","#2"
